,Pathogen,Numlist,StudyNum,Study,Author,year,Gene_ID,Virulence_factor,Disease_Variable_Recat,Mutant_dis_mean,Mutant_dis_mean_stand,Mutant_sdcal,Mutant_dis_sd,Mutant_dis_sd_stand,Mutant_N,SE_SD,Wildtype_dis_mean,Wildtype_dis_mean_stand,Wildtype_sdcal,Wildtype_dis_sd,Wildtype_dis_sd_stand,Wildtype_N,Infection_Strategy,Necrotrophic,Saprophytic,Hemibiotrophic,Biotrophic,Class of Host being affected,Fruits,Field,Woody,Ornamental,Mode of transmission,Air,Soil,Water,Host tissue target,Leaves/stem,Fruits/Flower,Root/Vascular,Seeds/grains,Type of disease,Cohen_d,perchange
158,Botrytis cinerea,410,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.17,Kars,2005,Bcpme,Enzymes,lesion size 1D,10.9,1.09,,3.2,0.32,17,sd,10.5,1.05,0,3.3,0.33,34,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.122410878,0.038095238
144,Botrytis cinerea,403,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.10,Kars,2005,Bcpme,Enzymes,lesion size 1D,14.2,1.42,,1.7,0.17,30,sd,13.5,1.35,0,2,0.2,176,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.357114697,0.051851852
153,Botrytis cinerea,414,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.21,Kars,2005,Bcpme,Enzymes,lesion size 1D,11.2,1.12,,3.7,0.37,17,sd,10.5,1.05,0,3.3,0.33,34,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.203740883,0.066666667
160,Botrytis cinerea,411,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.18,Kars,2005,Bcpme,Enzymes,lesion size 1D,11.4,1.14,,4.1,0.41,17,sd,10.5,1.05,0,3.3,0.33,34,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.251331343,0.085714286
148,Botrytis cinerea,405,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.12,Kars,2005,Bcpme,Enzymes,lesion size 1D,14.7,1.47,,1.3,0.13,29,sd,13.5,1.35,0,2,0.2,176,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.625426044,0.088888889
162,Botrytis cinerea,412,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.19,Kars,2005,Bcpme,Enzymes,lesion size 1D,11.5,1.15,,3.9,0.39,16,sd,10.5,1.05,0,3.3,0.33,34,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.285830975,0.095238095
164,Botrytis cinerea,413,37,Functional analysis of Botrytis cinerea pectin methylesterase genes by PCR-based targeted mutagenesis: Bcpme1 and Bcpme2 are dispensable for virulence of strain B05.20,Kars,2005,Bcpme,Enzymes,lesion size 1D,11.7,1.17,,4.1,0.41,17,sd,10.5,1.05,0,3.3,0.33,34,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.335108457,0.114285714
161,Botrytis cinerea,422,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,23.91304348,23.91304348,28.01932367,4.106280193,4.106280193,16,sd,73.1884058,73.1884058,77.77777778,4.589371981,4.589371981,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-11.315884,-0.673267327
155,Botrytis cinerea,419,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,24.39613527,24.39613527,27.0531401,2.657004831,2.657004831,16,sd,47.58454106,47.58454106,51.69082126,4.106280193,4.106280193,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-6.704930838,-0.487309645
176,Botrytis cinerea,423,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,92.02898551,92.02898551,97.58454106,5.555555556,5.555555556,16,sd,73.1884058,73.1884058,77.77777778,4.589371981,4.589371981,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,3.697554612,0.257425743
178,Botrytis cinerea,424,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,94.92753623,94.92753623,99.51690821,4.589371981,4.589371981,16,sd,73.1884058,73.1884058,77.77777778,4.589371981,4.589371981,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,4.736842104,0.297029703
159,Botrytis cinerea,421,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,87.43961353,87.43961353,91.54589372,4.106280193,4.106280193,16,sd,47.58454106,47.58454106,51.69082126,4.106280193,4.106280193,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,9.705882355,0.837563452
157,Botrytis cinerea,420,39,Anti-Apoptotic Machinery Protects the Necrotrophic Fungus Botrytis cinerea from Host-Induced Apoptotic-Like Cell Death during Plant Infection,Shlezinger,2011,BcBIR1,others,lesion size 1D,87.68115942,87.68115942,91.54589372,3.8647343,3.8647343,16,sd,47.58454106,47.58454106,51.69082126,4.106280193,4.106280193,16,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,10.05599005,0.842639594
166,Botrytis cinerea,431,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.38862559,0.38862559,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.544444448
168,Botrytis cinerea,432,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.4549763,0.4549763,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.466666671
177,Botrytis cinerea,430,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.455502,0.455502,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.111111874
180,Botrytis cinerea,425,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.488038,0.488038,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.047619587
169,Botrytis cinerea,426,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.61004,0.61004,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.190460881
173,Botrytis cinerea,428,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.62631579,0.62631579,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.222222227
175,Botrytis cinerea,429,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.62631579,0.62631579,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.222222227
172,Botrytis cinerea,434,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,1.0904739,1.0904739,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.278277736
170,Botrytis cinerea,433,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,1.12796209,1.12796209,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.322222226
174,Botrytis cinerea,435,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,1.20379146,1.20379146,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.411111098
171,Botrytis cinerea,427,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,0.756459,0.756459,,,,30,sd,0.51244019,0.51244019,,,,30,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.476189836
189,Botrytis cinerea,436,40,A fungal RNA-dependent RNA polymerase is a novel player in plant infection and cross-kingdom RNA interference,Cheng,2023,BcRDR1,Enzymes,lesion size 1D,1.611137441,1.611137441,,,,10,sd,0.85308057,0.85308057,,,,10,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,0.888611109
191,Botrytis cinerea,457,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,6.805555556,6.805555556,9.722222222,2.916666667,2.916666667,9,sd,49.58333333,49.58333333,53.47222222,3.888888889,3.888888889,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-12.44507935,-0.862745098
193,Botrytis cinerea,458,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,11.66666667,11.66666667,13.61111111,1.944444444,1.944444444,9,sd,49.58333333,49.58333333,53.47222222,3.888888889,3.888888889,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-12.33288287,-0.764705882
184,Botrytis cinerea,460,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,28.19444444,28.19444444,32.08333333,3.888888889,3.888888889,9,sd,100.1388889,100.1388889,107.9166667,7.777777778,7.777777778,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-11.70042734,-0.718446602
186,Botrytis cinerea,461,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,31.11111111,31.11111111,35,3.888888889,3.888888889,9,sd,100.1388889,100.1388889,107.9166667,7.777777778,7.777777778,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-11.2260857,-0.689320388
190,Botrytis cinerea,463,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,45.69444444,45.69444444,51.52777778,5.833333333,5.833333333,9,sd,101.1111111,101.1111111,115.6944444,14.58333333,14.58333333,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-4.989644449,-0.548076923
179,Botrytis cinerea,464,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,46.66666667,46.66666667,53.47222222,6.805555556,6.805555556,9,sd,101.1111111,101.1111111,115.6944444,14.58333333,14.58333333,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-4.784402883,-0.538461538
182,Botrytis cinerea,459,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,45.69444444,45.69444444,48.61111111,2.916666667,2.916666667,9,sd,49.58333333,49.58333333,53.47222222,3.888888889,3.888888889,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.13137085,-0.078431373
188,Botrytis cinerea,462,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,96.25,96.25,100.1388889,3.888888889,3.888888889,9,sd,100.1388889,100.1388889,107.9166667,7.777777778,7.777777778,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.632455534,-0.038834952
181,Botrytis cinerea,465,46,Transcriptome analysis and functional validation reveal a novel gene BcCGF1 that enhances fungal virulence by promoting infection-related development and host penetration,Zhang,2020,BcCGF1,Effector,lesion size 1D,98.19444444,98.19444444,105.9722222,7.777777778,7.777777778,9,sd,101.1111111,101.1111111,115.6944444,14.58333333,14.58333333,9,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.249567099,-0.028846154
185,Botrytis cinerea,467,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,7.320574163,0.732057416,8.784688995,1.464114833,0.146411483,8,sd,14.03827751,1.403827751,15.24401914,1.205741627,0.120574163,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-5.008858133,-0.478527607
183,Botrytis cinerea,466,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,8.09569378,0.809569378,9.301435407,1.205741627,0.120574163,8,sd,14.03827751,1.403827751,15.24401914,1.205741627,0.120574163,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-4.928571414,-0.423312883
194,Botrytis cinerea,469,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,12.22966507,1.222966507,14.21052632,1.980861244,0.198086124,8,sd,14.89952153,1.489952153,17.39712919,2.497607656,0.249760766,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.184449116,-0.179190752
187,Botrytis cinerea,468,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,11.62679426,1.162679426,13.77990431,2.153110048,0.215311005,8,sd,14.03827751,1.403827751,15.24401914,1.205741627,0.120574163,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.381979018,-0.171779141
196,Botrytis cinerea,470,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,13.09090909,1.309090909,14.21052632,1.119617225,0.111961723,8,sd,14.89952153,1.489952153,17.39712919,2.497607656,0.249760766,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.934487733,-0.121387283
198,Botrytis cinerea,471,47,The Transcription Factor BcLTF1 Regulates Virulence and Light Responses in the Necrotrophic Plant Pathogen Botrytis cinerea,Schumacher,2014,BcLTF1,TF,lesion size 1D,14.12440191,1.412440191,16.19138756,2.066985646,0.206698565,8,sd,14.89952153,1.489952153,17.39712919,2.497607656,0.249760766,8,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.338121341,-0.052023122
195,Botrytis cinerea,472,48,The mitogen-activated protein kinase kinase BOS5 is involved in regulating vegetative differentiation and virulence in Botrytis cinerea,Yan,2023,BOS5,Enzymes,lesion size 1D,0.006345178,0.006345178,6.35E-03,0,0,4,sd,1.878172589,1.878172589,1.954314721,7.61E-02,7.61E-02,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-34.7660834,-0.996621621
127,Botrytis cinerea,520,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,12.58,1.258,,1.36,0.136,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-10.68114543,-0.692721055
192,Botrytis cinerea,522,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,12.6,1.26,,1.06,0.106,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-10.95949844,-0.692232535
129,Botrytis cinerea,521,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,15.43,1.543,,0.94,0.094,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-9.954823489,-0.623106986
202,Botrytis cinerea,523,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,21.84,2.184,,3.1,0.31,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-5.777278268,-0.466536395
197,Botrytis cinerea,514,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,6.02189781,0.602189781,,,,2,sd,7.226277372,0.722627737,,,,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.166666666
199,Botrytis cinerea,515,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,8.430656934,0.843065693,,,,2,sd,9.744525547,0.974452555,,,,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.134831461
203,Botrytis cinerea,524,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,36.77,3.677,,3.24,0.324,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.236469082,-0.101856375
123,Botrytis cinerea,518,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,37.22627737,3.722627737,,,,2,sd,40.94890511,4.094890511,,,,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.090909091
125,Botrytis cinerea,519,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,37.66,3.766,,4.24,0.424,2,sd,40.94,4.094,0,3.5,0.35,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.843697978,-0.080117245
121,Botrytis cinerea,517,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,12.48175182,1.248175182,,,,2,sd,13.35766423,1.335766423,,,,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.065573771
201,Botrytis cinerea,516,57,The grapevine polygalacturonase-inhibiting protein (VvPGIP1) reduces Botrytis cinerea susceptibility in transgenic tobacco and differentially inhibits fungal polygalacturonases,Dirk,2005,VvPGIP1,Effector,lesion size 1D,11.05839416,1.105839416,,,,2,sd,11.71532847,1.171532847,,,,2,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,,-0.056074767
200,Botrytis cinerea,529,60,The key gluconeogenic gene PCK1 is crucial for virulence of Botrytis cinerea via initiating its conidial germination and host penetration,Liu,2018,PCK1,Effector,lesion size 1D,10,10,13.33333333,3.333333333,3.333333333,3,sd,99.25925926,99.25925926,102.5925926,3.333333333,3.333333333,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-26.77777778,-0.899253731
204,Botrytis cinerea,528,60,The key gluconeogenic gene PCK1 is crucial for virulence of Botrytis cinerea via initiating its conidial germination and host penetration,Liu,2018,PCK1,Effector,lesion size 1D,13.33333333,13.33333333,15.55555556,2.222222222,2.222222222,3,sd,99.25925926,99.25925926,102.5925926,3.333333333,3.333333333,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-30.33262891,-0.865671642
145,Botrytis cinerea,532,61,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,BcPGs,Enzymes,lesion size 1D,4.4,0.44,,1.2,0.12,48,sd,13.2,1.32,0,7.8,0.78,48,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.57696977,-0.666666667
143,Botrytis cinerea,531,61,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,BcPGs,Enzymes,lesion size 1D,3.5,0.35,,0.6,0.06,48,sd,9,0.9,0,4.7,0.47,48,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.641608207,-0.611111111
149,Botrytis cinerea,534,61,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,BcPGs,Enzymes,lesion size 1D,8,0.8,,2.2,0.22,90,sd,18.1,1.81,0,3.7,0.37,90,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.318170225,-0.55801105
